pid,gender,cond,feasible,achieved_class,fallback_depth,n_valid_cands,n_changed_vars,mean_l1_dist,diversity,anthro_viol,energy_viol,conflict_viol,any_viol,reached_target,reached_but_outside
9053,Male,B2_mc,True,1.0,1.0,4,25.0,8.3444,8.7563,0.0,0.0,0.0,0.0,,
9053,Male,B1_soft,True,1.0,1.0,1,25.0,9.2319,0.0,0.0,0.0,0.0,0.0,True,False
7007,Male,B2_mc,True,0.0,0.0,4,23.5,7.4011,9.1228,0.0,0.0,0.0,0.0,,
7007,Male,B1_soft,False,,,0,,,,,,,,True,True
8374,Male,B2_mc,True,0.0,0.0,4,23.25,9.0846,9.003,0.0,0.0,0.0,0.0,,
8374,Male,B1_soft,False,,,0,,,,,,,,True,True
5925,Male,B2_mc,True,0.0,0.0,4,23.5,10.425,11.5818,0.0,0.0,0.0,0.0,,
5925,Male,B1_soft,False,,,0,,,,,,,,True,True
4792,Male,B2_mc,True,0.0,0.0,4,24.0,8.1584,9.9837,0.0,0.0,0.0,0.0,,
4792,Male,B1_soft,True,2.0,2.0,1,24.0,8.3344,0.0,0.0,0.0,0.0,0.0,True,False
8521,Male,B2_mc,True,0.0,0.0,4,23.75,12.6745,14.2439,0.0,0.0,0.0,0.0,,
8521,Male,B1_soft,False,,,0,,,,,,,,True,True
8410,Male,B2_mc,True,0.0,0.0,4,23.75,5.9624,6.3301,0.0,0.0,0.0,0.0,,
8410,Male,B1_soft,False,,,0,,,,,,,,True,True
9595,Male,B2_mc,True,0.0,0.0,4,24.0,8.6619,12.1361,0.0,0.0,0.0,0.0,,
9595,Male,B1_soft,True,1.0,1.0,1,25.0,9.5699,0.0,0.0,0.0,0.0,0.0,True,False
8225,Male,B2_mc,True,0.0,0.0,4,23.5,8.7478,9.0623,0.0,0.0,0.0,0.0,,
8225,Male,B1_soft,False,,,0,,,,,,,,True,True
6704,Male,B2_mc,True,1.0,1.0,4,23.75,10.2456,12.264,0.0,0.0,0.0,0.0,,
6704,Male,B1_soft,False,,,0,,,,,,,,True,True
