pid,gender,c0_feasible,n_cand,posthoc_a0.25,posthoc_a0.5,posthoc_a0.75,posthoc_a1.0,posthoc_a1.5,posthoc_a2.0,posthoc_a3.0,posthoc_a5.0
5447,Male,True,4,False,False,False,False,False,False,False,False
7856,Male,True,4,False,False,False,False,False,False,False,False
8516,Male,True,4,False,False,False,False,False,False,False,False
3849,Male,True,4,False,False,False,False,False,False,False,False
2733,Male,True,4,False,False,False,False,False,False,False,False
8363,Male,True,2,False,False,False,False,False,False,False,False
9053,Male,True,4,False,False,False,False,False,False,False,False
7007,Male,True,4,False,False,False,False,False,False,False,False
8374,Male,True,3,False,False,False,False,False,False,False,False
5925,Male,True,4,False,False,False,False,False,False,False,False
4792,Male,True,4,False,False,False,False,False,False,False,False
8521,Male,True,4,False,False,False,False,False,False,False,False
8410,Male,True,4,False,False,False,False,False,False,False,False
9595,Male,True,4,False,False,False,False,False,False,False,False
8225,Male,True,4,False,False,False,False,False,False,False,False
6704,Male,True,4,False,False,False,False,False,False,False,False
6524,Male,True,4,False,False,False,False,False,False,False,False
3865,Male,True,4,False,False,False,False,False,False,False,False
7571,Male,True,4,False,False,False,False,False,False,False,False
9381,Male,True,4,False,False,False,False,False,False,False,False
2694,Male,True,4,False,False,False,False,False,False,False,False
6647,Male,True,4,False,False,False,False,False,False,False,False
6681,Male,True,3,False,False,False,False,False,False,False,False
3537,Male,True,4,False,False,False,False,False,False,False,False
8517,Male,True,4,False,False,False,False,False,False,False,False
5624,Male,True,4,False,False,False,False,False,False,False,False
9456,Male,True,4,False,False,False,False,False,False,False,False
6741,Male,True,4,False,False,False,False,False,False,False,False
9657,Male,True,4,False,False,False,False,False,False,False,False
2712,Male,True,3,False,False,False,False,False,False,False,False
8857,Male,True,3,False,False,False,False,False,False,False,False
3385,Male,True,4,False,False,False,False,False,False,False,False
3022,Male,True,4,False,False,False,False,False,False,False,False
6624,Male,True,3,False,False,False,False,False,False,False,False
8834,Male,True,4,False,False,False,False,False,False,False,False
3276,Male,True,4,False,False,False,False,False,False,False,False
3203,Male,True,4,False,False,False,False,False,False,False,False
6707,Male,True,4,False,False,False,False,False,False,False,False
4297,Male,True,3,False,False,False,False,False,False,False,False
9075,Male,True,4,False,False,False,False,False,False,False,False
5539,Male,True,4,False,False,False,False,False,False,False,False
5946,Male,True,4,False,False,False,False,False,False,False,False
3726,Male,True,4,False,False,False,False,False,False,False,False
6164,Male,True,4,False,False,False,False,False,False,False,False
8701,Male,True,3,False,False,False,False,False,False,False,False
9664,Male,True,4,False,False,False,False,False,False,False,False
8595,Female,True,4,False,False,False,False,False,False,False,False
6832,Female,True,4,False,False,False,False,False,False,False,False
6220,Female,True,4,False,False,False,False,False,False,False,False
7997,Female,True,4,False,False,False,False,False,False,False,False
6604,Female,True,4,False,False,False,False,False,False,False,False
8684,Female,True,4,False,False,False,False,False,False,False,False
3657,Female,True,4,False,False,False,False,False,False,False,False
6319,Female,True,4,False,False,False,False,False,False,False,False
6725,Female,True,4,False,False,False,False,False,False,False,False
9719,Female,True,4,False,False,False,False,False,False,False,False
8375,Female,True,4,False,False,False,False,False,False,False,False
6901,Female,True,3,False,False,False,False,False,False,False,False
9270,Female,True,4,False,False,False,False,False,False,False,False
8996,Female,True,4,False,False,False,False,False,False,False,False
